Freq.	V(vout)
3.54813389233575e+000	2.00996357775293e+000,-1.41005881148338e-005
3.63078054770101e+000	2.00996357775009e+000,-1.44290330049359e-005
3.71535229097172e+000	2.00996357774711e+000,-1.47651283593293e-005
3.80189396320560e+000	2.00996357774399e+000,-1.51090523802147e-005
3.89045144994280e+000	2.00996357774072e+000,-1.54609874206642e-005
3.98107170553496e+000	2.00996357773731e+000,-1.58211200812932e-005
4.07380277804112e+000	2.00996357773373e+000,-1.61896413092055e-005
4.16869383470335e+000	2.00996357772998e+000,-1.65667464992332e-005
4.26579518801592e+000	2.00996357772605e+000,-1.69526355975411e-005
4.36515832240165e+000	2.00996357772194e+000,-1.73475132076347e-005
4.46683592150962e+000	2.00996357771763e+000,-1.77515886988513e-005
4.57088189614874e+000	2.00996357771313e+000,-1.81650763173648e-005
4.67735141287197e+000	2.00996357770841e+000,-1.85881952997829e-005
4.78630092322637e+000	2.00996357770346e+000,-1.90211699893908e-005
4.89778819368445e+000	2.00996357769829e+000,-1.94642299550988e-005
5.01187233627271e+000	2.00996357769287e+000,-1.99176101131683e-005
5.12861383991364e+000	2.00996357768720e+000,-2.03815508517552e-005
5.24807460249771e+000	2.00996357768125e+000,-2.08562981583848e-005
5.37031796370252e+000	2.00996357767503e+000,-2.13421037503617e-005
5.49540873857623e+000	2.00996357766852e+000,-2.18392252082371e-005
5.62341325190348e+000	2.00996357766169e+000,-2.23479261123906e-005
5.75439937337156e+000	2.00996357765455e+000,-2.28684761827791e-005
5.88843655355588e+000	2.00996357764707e+000,-2.34011514219332e-005
6.02559586074356e+000	2.00996357763924e+000,-2.39462342613179e-005
6.16595001861481e+000	2.00996357763103e+000,-2.45040137110713e-005
6.30957344480192e+000	2.00996357762245e+000,-2.50747855132374e-005
6.45654229034654e+000	2.00996357761345e+000,-2.56588522985820e-005
6.60693448007594e+000	2.00996357760404e+000,-2.62565237470426e-005
6.76082975391980e+000	2.00996357759418e+000,-2.68681167519368e-005
6.91830970918935e+000	2.00996357758385e+000,-2.74939555879691e-005
7.07945784384136e+000	2.00996357757304e+000,-2.81343720831706e-005
7.24435960074988e+000	2.00996357756171e+000,-2.87897057948482e-005
7.41310241300916e+000	2.00996357754986e+000,-2.94603041896049e-005
7.58577575029182e+000	2.00996357753744e+000,-3.01465228275886e-005
7.76247116628690e+000	2.00996357752444e+000,-3.08487255510031e-005
7.94328234724279e+000	2.00996357751083e+000,-3.15672846770264e-005
8.12830516164097e+000	2.00996357749658e+000,-3.23025811952209e-005
8.31763771102669e+000	2.00996357748165e+000,-3.30550049695255e-005
8.51138038202374e+000	2.00996357746602e+000,-3.38249549449913e-005
8.70963589956078e+000	2.00996357744966e+000,-3.46128393592796e-005
8.91250938133743e+000	2.00996357743252e+000,-3.54190759591399e-005
9.12010839355907e+000	2.00996357741458e+000,-3.62440922218883e-005
9.33254300796988e+000	2.00996357739579e+000,-3.70883255820623e-005
9.54992586021433e+000	2.00996357737611e+000,-3.79522236633646e-005
9.77237220955808e+000	2.00996357735551e+000,-3.88362445159953e-005
9.99999999999997e+000	2.00996357733393e+000,-3.97408568595103e-005
1.02329299228075e+001	2.00996357731134e+000,-4.06665403313404e-005
1.04712854805090e+001	2.00996357728769e+000,-4.16137857411185e-005
1.07151930523760e+001	2.00996357726292e+000,-4.25830953308950e-005
1.09647819614318e+001	2.00996357723698e+000,-4.35749830414517e-005
1.12201845430196e+001	2.00996357720982e+000,-4.45899747847710e-005
1.14815362149688e+001	2.00996357718138e+000,-4.56286087229070e-005
1.17489755493953e+001	2.00996357715160e+000,-4.66914355533280e-005
1.20226443461741e+001	2.00996357712041e+000,-4.77790188008774e-005
1.23026877081238e+001	2.00996357708776e+000,-4.88919351165923e-005
1.25892541179416e+001	2.00996357705357e+000,-5.00307745834283e-005
1.28824955169313e+001	2.00996357701777e+000,-5.11961410291464e-005
1.31825673855640e+001	2.00996357698027e+000,-5.23886523464548e-005
1.34896288259165e+001	2.00996357694102e+000,-5.36089408206377e-005
1.38038426460288e+001	2.00996357689991e+000,-5.48576534647925e-005
1.41253754462275e+001	2.00996357685686e+000,-5.61354523628868e-005
1.44543977074592e+001	2.00996357681179e+000,-5.74430150208128e-005
1.47910838816820e+001	2.00996357676459e+000,-5.87810347255880e-005
1.51356124843620e+001	2.00996357671517e+000,-6.01502209129653e-005
1.54881661891248e+001	2.00996357666341e+000,-6.15512995435910e-005
1.58489319246111e+001	2.00996357660922e+000,-6.29850134878782e-005
1.62181009735892e+001	2.00996357655248e+000,-6.44521229199497e-005
1.65958690743755e+001	2.00996357649306e+000,-6.59534057206273e-005
1.69824365246174e+001	2.00996357643084e+000,-6.74896578899282e-005
1.73780082874937e+001	2.00996357636568e+000,-6.90616939690717e-005
1.77827941003892e+001	2.00996357629746e+000,-7.06703474723903e-005
1.81970085860998e+001	2.00996357622602e+000,-7.23164713292670e-005
1.86208713666286e+001	2.00996357615122e+000,-7.40009383363324e-005
1.90546071796324e+001	2.00996357607289e+000,-7.57246416202976e-005
1.94984459975804e+001	2.00996357599086e+000,-7.74884951114466e-005
1.99526231496887e+001	2.00996357590498e+000,-7.92934340282325e-005
2.04173794466952e+001	2.00996357581504e+000,-8.11404153731541e-005
2.08929613085403e+001	2.00996357572087e+000,-8.30304184401595e-005
2.13796208950222e+001	2.00996357562225e+000,-8.49644453338759e-005
2.18776162394954e+001	2.00996357551900e+000,-8.69435215009504e-005
2.23872113856833e+001	2.00996357541087e+000,-8.89686962737486e-005
2.29086765276776e+001	2.00996357529765e+000,-9.10410434267237e-005
2.34422881531991e+001	2.00996357517909e+000,-9.31616617457556e-005
2.39883291901948e+001	2.00996357505494e+000,-9.53316756107268e-005
2.45470891568502e+001	2.00996357492495e+000,-9.75522355916827e-005
2.51188643150957e+001	2.00996357478883e+000,-9.98245190589239e-005
2.57039578276885e+001	2.00996357464629e+000,-1.02149730807180e-004
2.63026799189537e+001	2.00996357449703e+000,-1.04529103694479e-004
2.69153480392690e+001	2.00996357434074e+000,-1.06963899295802e-004
2.75422870333815e+001	2.00996357417709e+000,-1.09455408571983e-004
2.81838293126444e+001	2.00996357400572e+000,-1.12004952554168e-004
2.88403150312659e+001	2.00996357382627e+000,-1.14613883044306e-004
2.95120922666637e+001	2.00996357363837e+000,-1.17283583331864e-004
3.01995172040200e+001	2.00996357344162e+000,-1.20015468927221e-004
3.09029543251358e+001	2.00996357323559e+000,-1.22810988312233e-004
3.16227766016837e+001	2.00996357301984e+000,-1.25671623708260e-004
3.23593656929627e+001	2.00996357279394e+000,-1.28598891861988e-004
3.31131121482590e+001	2.00996357255738e+000,-1.31594344849720e-004
3.38844156139201e+001	2.00996357230968e+000,-1.34659570900219e-004
3.46736850452530e+001	2.00996357205030e+000,-1.37796195236856e-004
3.54813389233574e+001	2.00996357177870e+000,-1.41005880939333e-004
3.63078054770100e+001	2.00996357149430e+000,-1.44290329825413e-004
3.71535229097171e+001	2.00996357119650e+000,-1.47651283353325e-004
3.80189396320559e+001	2.00996357088466e+000,-1.51090523545021e-004
3.89045144994279e+001	2.00996357055812e+000,-1.54609873931121e-004
3.98107170553495e+001	2.00996357021620e+000,-1.58211200517705e-004
4.07380277804111e+001	2.00996356985816e+000,-1.61896412775711e-004
4.16869383470333e+001	2.00996356948325e+000,-1.65667464653356e-004
4.26579518801591e+001	2.00996356909067e+000,-1.69526355612195e-004
4.36515832240164e+001	2.00996356867958e+000,-1.73475131687156e-004
4.46683592150961e+001	2.00996356824912e+000,-1.77515886571489e-004
4.57088189614873e+001	2.00996356779838e+000,-1.81650762726809e-004
4.67735141287196e+001	2.00996356732639e+000,-1.85881952519023e-004
4.78630092322636e+001	2.00996356683216e+000,-1.90211699380853e-004
4.89778819368444e+001	2.00996356631463e+000,-1.94642299001251e-004
5.01187233627270e+001	2.00996356577272e+000,-1.99176100542623e-004
5.12861383991362e+001	2.00996356520527e+000,-2.03815507886369e-004
5.24807460249770e+001	2.00996356461107e+000,-2.08562980907517e-004
5.37031796370250e+001	2.00996356398887e+000,-2.13421036778881e-004
5.49540873857622e+001	2.00996356333734e+000,-2.18392251305847e-004
5.62341325190346e+001	2.00996356265512e+000,-2.23479260291839e-004
5.75439937337154e+001	2.00996356194073e+000,-2.28684760936203e-004
5.88843655355586e+001	2.00996356119268e+000,-2.34011513263979e-004
6.02559586074355e+001	2.00996356040938e+000,-2.39462341589518e-004
6.16595001861479e+001	2.00996355958916e+000,-2.45040136013829e-004
6.30957344480190e+001	2.00996355873028e+000,-2.50747853957033e-004
6.45654229034652e+001	2.00996355783093e+000,-2.56588521726424e-004
6.60693448007593e+001	2.00996355688919e+000,-2.62565236120965e-004
6.76082975391978e+001	2.00996355590307e+000,-2.68681166073383e-004
6.91830970918933e+001	2.00996355487047e+000,-2.74939554330295e-004
7.07945784384134e+001	2.00996355378921e+000,-2.81343719171481e-004
7.24435960074986e+001	2.00996355265699e+000,-2.87897056169499e-004
7.41310241300914e+001	2.00996355147141e+000,-2.94603039989876e-004
7.58577575029180e+001	2.00996355022996e+000,-3.01465226233379e-004
7.76247116628688e+001	2.00996354893000e+000,-3.08487253321436e-004
7.94328234724277e+001	2.00996354756877e+000,-3.15672844425170e-004
8.12830516164095e+001	2.00996354614339e+000,-3.23025809439380e-004
8.31763771102667e+001	2.00996354465083e+000,-3.30550047002723e-004
8.51138038202372e+001	2.00996354308794e+000,-3.38249546564804e-004
8.70963589956076e+001	2.00996354145138e+000,-3.46128390501339e-004
8.91250938133741e+001	2.00996353973770e+000,-3.54190756278869e-004
9.12010839355905e+001	2.00996353794325e+000,-3.62440918669426e-004
9.33254300796986e+001	2.00996353606423e+000,-3.70883252017308e-004
9.54992586021431e+001	2.00996353409666e+000,-3.79522232558325e-004
9.77237220955805e+001	2.00996353203636e+000,-3.88362440793120e-004
9.99999999999995e+001	2.00996352987896e+000,-3.97408563915969e-004
1.02329299228075e+002	2.00996352761989e+000,-4.06665398299624e-004
1.04712854805089e+002	2.00996352525435e+000,-4.16137852038833e-004
1.07151930523760e+002	2.00996352277732e+000,-4.25830947552395e-004
1.09647819614318e+002	2.00996352018356e+000,-4.35749824246234e-004
1.12201845430196e+002	2.00996351746755e+000,-4.45899741238243e-004
1.14815362149688e+002	2.00996351462355e+000,-4.56286080146948e-004
1.17489755493952e+002	2.00996351164551e+000,-4.66914347944611e-004
1.20226443461741e+002	2.00996350852711e+000,-4.77790179877444e-004
1.23026877081237e+002	2.00996350526176e+000,-4.88919342453034e-004
1.25892541179416e+002	2.00996350184251e+000,-5.00307736498268e-004
1.28824955169313e+002	2.00996349826212e+000,-5.11961400287696e-004
1.31825673855640e+002	2.00996349451299e+000,-5.23886512745337e-004
