Freq.	V(vout)
1.07151930523760e+001	2.03025632148903e+000,-4.34968962249424e-005
1.09647819614318e+001	2.03025632146564e+000,-4.45100690927765e-005
1.12201845430196e+001	2.03025632144115e+000,-4.55468417883874e-005
1.14815362149688e+001	2.03025632141551e+000,-4.66077640223686e-005
1.17489755493953e+001	2.03025632138866e+000,-4.76933983097620e-005
1.20226443461741e+001	2.03025632136055e+000,-4.88043202682034e-005
1.23026877081238e+001	2.03025632133109e+000,-4.99411189232550e-005
1.25892541179416e+001	2.03025632130026e+000,-5.11043970205670e-005
1.28824955169313e+001	2.03025632126797e+000,-5.22947713456003e-005
1.31825673855640e+001	2.03025632123418e+000,-5.35128730505720e-005
1.34896288259165e+001	2.03025632119877e+000,-5.47593479891606e-005
1.38038426460288e+001	2.03025632116171e+000,-5.60348570588038e-005
1.41253754462275e+001	2.03025632112289e+000,-5.73400765513876e-005
1.44543977074592e+001	2.03025632108224e+000,-5.86756985114822e-005
1.47910838816820e+001	2.03025632103968e+000,-6.00424311035744e-005
1.51356124843620e+001	2.03025632099513e+000,-6.14409989873114e-005
1.54881661891248e+001	2.03025632094845e+000,-6.28721437019800e-005
1.58489319246111e+001	2.03025632089960e+000,-6.43366240593749e-005
1.62181009735892e+001	2.03025632084843e+000,-6.58352165464101e-005
1.65958690743755e+001	2.03025632079486e+000,-6.73687157366247e-005
1.69824365246174e+001	2.03025632073874e+000,-6.89379347116347e-005
1.73780082874937e+001	2.03025632067999e+000,-7.05437054920451e-005
1.77827941003892e+001	2.03025632061848e+000,-7.21868794787724e-005
1.81970085860998e+001	2.03025632055406e+000,-7.38683279044900e-005
1.86208713666286e+001	2.03025632048662e+000,-7.55889422952897e-005
1.90546071796324e+001	2.03025632041598e+000,-7.73496349438307e-005
1.94984459975804e+001	2.03025632034202e+000,-7.91513393925353e-005
1.99526231496887e+001	2.03025632026458e+000,-8.09950109289680e-005
2.04173794466952e+001	2.03025632018348e+000,-8.28816270922130e-005
2.08929613085403e+001	2.03025632009857e+000,-8.48121881911167e-005
2.13796208950222e+001	2.03025632000965e+000,-8.67877178346875e-005
2.18776162394954e+001	2.03025631991654e+000,-8.88092634749468e-005
2.23872113856833e+001	2.03025631981904e+000,-9.08778969620632e-005
2.29086765276776e+001	2.03025631971695e+000,-9.29947151129198e-005
2.34422881531991e+001	2.03025631961004e+000,-9.51608402925667e-005
2.39883291901948e+001	2.03025631949810e+000,-9.73774210091437e-005
