Freq.	V(vout1)	V(vout2)
2.04173794466953e+000	-1.92556067472076e+000,2.34639747129458e-003	-1.99999999751083e+000,7.05573981150076e-005
2.08929613085404e+000	-1.92556037251633e+000,2.40105123956303e-003	-1.99999999739352e+000,7.22008910404156e-005
2.13796208950223e+000	-1.92556005607334e+000,2.45697799685822e-003	-1.99999999727068e+000,7.38826658335457e-005
2.18776162394955e+000	-1.92555972470273e+000,2.51420739051080e-003	-1.99999999714205e+000,7.56036141936256e-005
2.23872113856834e+000	-1.92555937773609e+000,2.57276975825060e-003	-1.99999999700736e+000,7.73646485902247e-005
2.29086765276777e+000	-1.92555901439611e+000,2.63269614393198e-003	-1.99999999686632e+000,7.91667027470572e-005
2.34422881531992e+000	-1.92555863397400e+000,2.69401831443474e-003	-1.99999999671863e+000,8.10107321370551e-005
2.39883291901949e+000	-1.92555823556865e+000,2.75676877577163e-003	-1.99999999656398e+000,8.28977144889718e-005
2.45470891568503e+000	-1.92555781837319e+000,2.82098079107291e-003	-1.99999999640205e+000,8.48286503057873e-005
2.51188643150958e+000	-1.92555738161547e+000,2.88668839805646e-003	-1.99999999623248e+000,8.68045633951872e-005
2.57039578276886e+000	-1.92555692417905e+000,2.95392642591366e-003	-1.99999999605493e+000,8.88265014123996e-005
2.63026799189538e+000	-1.92555644525528e+000,3.02273051566094e-003	-1.99999999586900e+000,9.08955364156752e-005
2.69153480392691e+000	-1.92555594374202e+000,3.09313713720640e-003	-1.99999999567431e+000,9.30127654347062e-005
2.75422870333816e+000	-1.92555541856228e+000,3.16518360959161e-003	-1.99999999547045e+000,9.51793110522866e-005
2.81838293126445e+000	-1.92555486864194e+000,3.23890812068335e-003	-1.99999999525698e+000,9.73963219995195e-005
2.88403150312660e+000	-1.92555429277889e+000,3.31434974694513e-003	-1.99999999503345e+000,9.96649737648890e-005
2.95120922666638e+000	-1.92555368984589e+000,3.39154847478027e-003	-1.99999999479938e+000,1.01986469217520e-004
3.01995172040201e+000	-1.92555305844899e+000,3.47054522050871e-003	-1.99999999455428e+000,1.04362039244956e-004
3.09029543251359e+000	-1.92555239729304e+000,3.55138185324834e-003	-1.99999999429763e+000,1.06792943405788e-004
3.16227766016837e+000	-1.92555170499616e+000,3.63410121642057e-003	-1.99999999402889e+000,1.09280470597494e-004
3.23593656929628e+000	-1.92555098007994e+000,3.71874715034875e-003	-1.99999999374748e+000,1.11825939739824e-004
3.31131121482591e+000	-1.92555022097661e+000,3.80536451544057e-003	-1.99999999345281e+000,1.14430700474112e-004
3.38844156139202e+000	-1.92554942612383e+000,3.89399921626270e-003	-1.99999999314425e+000,1.17096133878871e-004
3.46736850452531e+000	-1.92554859383082e+000,3.98469822527929e-003	-1.99999999282115e+000,1.19823653202060e-004
3.54813389233575e+000	-1.92554772230188e+000,4.07750960773834e-003	-1.99999999248282e+000,1.22614704610406e-004
3.63078054770101e+000	-1.92554680968823e+000,4.17248254726507e-003	-1.99999999212854e+000,1.25470767956177e-004
3.71535229097172e+000	-1.92554585405465e+000,4.26966737170039e-003	-1.99999999175757e+000,1.28393357561826e-004
3.80189396320560e+000	-1.92554485337293e+000,4.36911557964107e-003	-1.99999999136912e+000,1.31384023022895e-004
3.89045144994280e+000	-1.92554380557386e+000,4.47087986785853e-003	-1.99999999096236e+000,1.34444350029639e-004
3.98107170553496e+000	-1.92554270841413e+000,4.57501415850994e-003	-1.99999999053643e+000,1.37575961207771e-004
4.07380277804112e+000	-1.92554155946667e+000,4.68157362750091e-003	-1.99999999009042e+000,1.40780516978807e-004
4.16869383470335e+000	-1.92554035645522e+000,4.79061473519127e-003	-1.99999998962340e+000,1.44059716440435e-004
4.26579518801592e+000	-1.92553909670604e+000,4.90219525355088e-003	-1.99999998913436e+000,1.47415298267404e-004
4.36515832240165e+000	-1.92553777761015e+000,5.01637429883856e-003	-1.99999998862228e+000,1.50849041633388e-004
4.46683592150962e+000	-1.92553639632623e+000,5.13321236129972e-003	-1.99999998808607e+000,1.54362767154328e-004
