Freq.	V(vout1)	V(vout2)
2.39883291901946e+004	-1.58704930517378e+000,5.02259079502954e-001	-1.70677476818746e+000,7.07438638366301e-001
2.45470891568500e+004	-1.58029577524960e+000,5.11779812912618e-001	-1.69506249704086e+000,7.18949320333031e-001
2.51188643150954e+004	-1.57328500555890e+000,5.21386809809617e-001	-1.68296930086188e+000,7.30447078220070e-001
2.57039578276883e+004	-1.56600987903733e+000,5.31074543342736e-001	-1.67048974307890e+000,7.41918799078437e-001
2.63026799189534e+004	-1.55846331350713e+000,5.40837036522057e-001	-1.65761887951313e+000,7.53350787686517e-001
2.69153480392688e+004	-1.55063828563783e+000,5.50667848635744e-001	-1.64435230669311e+000,7.64728778626299e-001
2.75422870333813e+004	-1.54252785644735e+000,5.60560062371674e-001	-1.63068621093407e+000,7.76037952253384e-001
2.81838293126441e+004	-1.53412519888125e+000,5.70506272279587e-001	-1.61661741788190e+000,7.87262954777280e-001
2.88403150312656e+004	-1.52542362715213e+000,5.80498574488749e-001	-1.60214344218719e+000,7.98387922648484e-001
2.95120922666634e+004	-1.51641662760022e+000,5.90528557664961e-001	-1.58726253694118e+000,8.09396511424044e-001
3.01995172040197e+004	-1.50709789175619e+000,6.00587296069917e-001	-1.57197374247308e+000,8.20271929253551e-001
3.09029543251354e+004	-1.49746135080352e+000,6.10665344229373e-001	-1.55627693407758e+000,8.30996975092718e-001
3.16227766016833e+004	-1.48750121174063e+000,6.20752733793276e-001	-1.54017286821359e+000,8.41554081711864e-001
3.23593656929623e+004	-1.47721199518666e+000,6.30838972836874e-001	-1.52366322669074e+000,8.51925363521853e-001
3.31131121482586e+004	-1.46658857447569e+000,6.40913047601219e-001	-1.50675065833998e+000,8.62092669190499e-001
3.38844156139197e+004	-1.45562621613653e+000,6.50963427158748e-001	-1.48943881764947e+000,8.72037638968577e-001
3.46736850452526e+004	-1.44432062134147e+000,6.60978070950119e-001	-1.47173239983751e+000,8.81741766586764e-001
3.54813389233570e+004	-1.43266796833554e+000,6.70944439645078e-001	-1.45363717183153e+000,8.91186465523738e-001
3.63078054770096e+004	-1.42066495545719e+000,6.80849509363876e-001	-1.43515999862686e+000,9.00353139382027e-001
3.71535229097167e+004	-1.40830884468125e+000,6.90679789678738e-001	-1.41630886451123e+000,9.09223256042963e-001
3.80189396320555e+004	-1.39559750502107e+000,7.00421345130136e-001	-1.39709288866217e+000,9.17778425206177e-001
3.89045144994275e+004	-1.38252945589877e+000,7.10059820901831e-001	-1.37752233465400e+000,9.26000478853758e-001
3.98107170553491e+004	-1.36910390979395e+000,7.19580472414506e-001	-1.35760861345010e+000,9.33871554115605e-001
4.07380277804107e+004	-1.35532081407397e+000,7.28968199236860e-001	-1.33736427950387e+000,9.41374177952017e-001
4.16869383470329e+004	-1.34118089125153e+000,7.38207582948194e-001	-1.31680301964870e+000,9.48491353013546e-001
4.26579518801586e+004	-1.32668567767523e+000,7.47282929528557e-001	-1.29593963452255e+000,9.55206643987916e-001
4.36515832240159e+004	-1.31183755977373e+000,7.56178315658260e-001	-1.27479001234594e+000,9.61504263700852e-001
4.46683592150956e+004	-1.29663980772991e+000,7.64877639292978e-001	-1.25337109495244e+000,9.67369158203115e-001
4.57088189614868e+004	-1.28109660597839e+000,7.73364674250090e-001	-1.23170083605720e+000,9.72787090051259e-001
4.67735141287191e+004	-1.26521308002614e+000,7.81623128477473e-001	-1.20979815183992e+000,9.77744718975537e-001
4.78630092322631e+004	-1.24899531928000e+000,7.89636706083191e-001	-1.18768286401307e+000,9.82229679125943e-001
4.89778819368439e+004	-1.23245039526663e+000,7.97389172510173e-001	-1.16537563564200e+000,9.86230652097168e-001
5.01187233627264e+004	-1.21558637491567e+000,8.04864422706976e-001	-1.14289790007958e+000,9.89737434955780e-001
5.12861383991357e+004	-1.19841232844599e+000,8.12046551744912e-001	-1.12027178347151e+000,9.92741002528143e-001
5.24807460249764e+004	-1.18093833160368e+000,8.18919927714584e-001	-1.09752002137868e+000,9.95233563255531e-001
5.37031796370244e+004	-1.16317546176658e+000,8.25469265997518e-001	-1.07466587014692e+000,9.97208607982906e-001
5.49540873857616e+004	-1.14513578765231e+000,8.31679704420386e-001	-1.05173301373131e+000,9.98660951119186e-001
5.62341325190340e+004	-1.12683235263977e+000,8.37536879144538e-001	-1.02874546674956e+000,9.99586763688550e-001
5.75439937337148e+004	-1.10827915121217e+000,8.43026999922255e-001	-1.00572747459562e+000,9.99983597882864e-001
5.88843655355580e+004	-1.08949109870998e+000,8.48136924655624e-001	-9.82703411489399e-001,9.99850402823290e-001
6.02559586074348e+004	-1.07048399425013e+000,8.52854232265509e-001	-9.59697677370074e-001,9.99187531342657e-001
6.16595001861472e+004	-1.05127447686594e+000,8.57167292951257e-001	-9.36734594558072e-001,9.97996737707227e-001
6.30957344480183e+004	-1.03187997520849e+000,8.61065336008881e-001	-9.13838305114625e-001,9.96281166305215e-001
6.45654229034645e+004	-1.01231865077764e+000,8.64538513211711e-001	-8.91032669816869e-001,9.94045331437536e-001
6.60693448007586e+004	-9.92609335216437e-001,8.67577958202468e-001	-8.68341169641743e-001,9.91295088451817e-001
6.76082975391971e+004	-9.72771462006139e-001,8.70175840660822e-001	-8.45786810613683e-001,9.88037596561639e-001
6.91830970918925e+004	-9.52824993008786e-001,8.72325414799853e-001	-8.23392032820252e-001,9.84281273787446e-001
7.07945784384127e+004	-9.32790340500394e-001,8.74021061664388e-001	-8.01178624337606e-001,9.80035744541858e-001
7.24435960074979e+004	-9.12688285215500e-001,8.75258324618234e-001	-7.79167640735428e-001,9.75311780458763e-001
7.41310241300906e+004	-8.92539891171448e-001,8.76033937803112e-001	-7.57379330750282e-001,9.70121235131372e-001
7.58577575029172e+004	-8.72366417986916e-001,8.76345847098160e-001	-7.35833068629057e-001,9.64476973478403e-001
7.76247116628679e+004	-8.52189231409728e-001,8.76193223356712e-001	-7.14547293552019e-001,9.58392796499182e-001
7.94328234724269e+004	-8.32029712920006e-001,8.75576467670454e-001	-6.93539456449962e-001,9.51883362207269e-001
8.12830516164086e+004	-8.11909169196236e-001,8.74497208859533e-001	-6.72825974433874e-001,9.44964103548307e-001
8.31763771102658e+004	-7.91848742220683e-001,8.72958292930972e-001	-6.52422192960187e-001,9.37651144111388e-001
8.51138038202363e+004	-7.71869320901453e-001,8.70963764844746e-001	-6.32342355761847e-001,9.29961212434826e-001
8.70963589956067e+004	-7.51991454923807e-001,8.68518842547109e-001	-6.12599582486591e-001,9.21911555687657e-001
8.91250938133731e+004	-7.32235271618071e-001,8.65629883943547e-001	-5.93205853900375e-001,9.13519853478334e-001
9.12010839355895e+004	-7.12620396508899e-001,8.62304346898541e-001	-5.74172004437057e-001,9.04804132503188e-001
9.33254300796976e+004	-6.93165878252704e-001,8.58550742783802e-001	-5.55507721806037e-001,8.95782682700408e-001
9.54992586021420e+004	-6.73890118467304e-001,8.54378584265541e-001	-5.37221553308538e-001,8.86473975522033e-001
9.77237220955795e+004	-6.54810807009893e-001,8.49798327741286e-001	-5.19320918460786e-001,8.76896584877953e-001
9.99999999999984e+004	-6.35944863173565e-001,8.44821310998451e-001	-5.01812127479077e-001,8.67069111243779e-001
1.02329299228074e+005	-6.17308383036272e-001,8.39459687130380e-001	-4.84700405147441e-001,8.57010109359737e-001
1.04712854805088e+005	-5.98916593388604e-001,8.33726354929958e-001	-4.67989919563338e-001,8.46738019882051e-001
1.07151930523759e+005	-5.80783812263307e-001,8.27634886861430e-001	-4.51683815240174e-001,8.36271105282508e-001
1.09647819614317e+005	-5.62923416328711e-001,8.21199454980026e-001	-4.35784250037014e-001,8.25627390227399e-001
1.12201845430195e+005	-5.45347815015009e-001,8.14434755848441e-001	-4.20292435385029e-001,8.14824606604501e-001
1.14815362149686e+005	-5.28068431444222e-001,8.07355934844884e-001	-4.05208679286411e-001,8.03880143307312e-001
1.17489755493951e+005	-5.11095689925561e-001,7.99978510674556e-001	-3.90532431573851e-001,7.92811000829780e-001
1.20226443461739e+005	-4.94439009935264e-001,7.92318300619242e-001	-3.76262330936485e-001,7.81633750673046e-001
1.23026877081236e+005	-4.78106806216216e-001,7.84391347175702e-001	-3.62396253240694e-001,7.70364499518568e-001
1.25892541179415e+005	-4.62106494702135e-001,7.76213846664549e-001	-3.48931360700369e-001,7.59018858079644e-001
1.28824955169311e+005	-4.46444504042885e-001,7.67802080046389e-001	-3.35864151480602e-001,7.47611914506062e-001
1.31825673855639e+005	-4.31126292134964e-001,7.59172346682383e-001	-3.23190509350286e-001,7.36158212184361e-001
1.34896288259163e+005	-4.16156367363014e-001,7.50340901247303e-001	-3.10905753032283e-001,7.24671731748932e-001
1.38038426460286e+005	-4.01538314152242e-001,7.41323894009468e-001	-2.99004684933820e-001,7.13165877096813e-001
1.41253754462273e+005	-3.87274822181733e-001,7.32137315052157e-001	-2.87481638974110e-001,7.01653465181338e-001
1.44543977074590e+005	-3.73367719008160e-001,7.22796942276227e-001	-2.76330527260316e-001,6.90146719346450e-001
1.47910838816818e+005	-3.59818005534884e-001,7.13318293508383e-001	-2.65544885396381e-001,6.78657265954315e-001
1.51356124843618e+005	-3.46625893842259e-001,7.03716582838409e-001	-2.55117916241597e-001,6.67196134053352e-001
1.54881661891246e+005	-3.33790846964771e-001,6.94006681160501e-001	-2.45042531966717e-001,6.55773757831750e-001
1.58489319246109e+005	-3.21311620237516e-001,6.84203080875397e-001	-2.35311394284720e-001,6.44399981602437e-001
1.62181009735890e+005	-3.09186303705431e-001,6.74319864810613e-001	-2.25916952760713e-001,6.33084067069090e-001
1.65958690743753e+005	-2.97412365225076e-001,6.64370679259507e-001	-2.16851481130941e-001,6.21834702628600e-001
1.69824365246172e+005	-2.85986693994108e-001,6.54368710924158e-001	-2.08107111584142e-001,6.10660014473184e-001
1.73780082874935e+005	-2.74905644011325e-001,6.44326667789339e-001	-1.99675866979735e-001,5.99567579264724e-001
1.77827941003889e+005	-2.64165077351073e-001,6.34256763562184e-001	-1.91549690996358e-001,5.88564438164519e-001
1.81970085860995e+005	-2.53760406752944e-001,6.24170705742710e-001	-1.83720476221227e-001,5.77657112013260e-001
1.86208713666284e+005	-2.43686637517824e-001,6.14079686874811e-001	-1.76180090205670e-001,5.66851617468330e-001
1.90546071796322e+005	-2.33938408306538e-001,6.03994378939378e-001	-1.68920399525111e-001,5.56153483918332e-001
1.94984459975801e+005	-2.24510030761095e-001,5.93924930607960e-001	-1.61933291892804e-001,5.45567771007753e-001
1.99526231496885e+005	-2.15395527735611e-001,5.83880967138628e-001	-1.55210696385884e-001,5.35099086617776e-001
2.04173794466949e+005	-2.06588670040501e-001,5.73871592714474e-001	-1.48744601849918e-001,5.24751605162238e-001
2.08929613085400e+005	-1.98083011589608e-001,5.63905394940550e-001	-1.42527073554242e-001,5.14529086070503e-001
2.13796208950220e+005	-1.89871922815350e-001,5.53990451384625e-001	-1.36550268175077e-001,5.04434892341390e-001
2.18776162394952e+005	-1.81948622399189e-001,5.44134337830609e-001	-1.30806447186857e-001,4.94472009064280e-001
2.23872113856830e+005	-1.74306207151950e-001,5.34344138134797e-001	-1.25287988744524e-001,4.84643061814982e-001
2.29086765276773e+005	-1.66937680124521e-001,5.24626455415763e-001	-1.19987398140878e-001,4.74950334844747e-001
2.34422881531988e+005	-1.59835976898155e-001,5.14987424437389e-001	-1.14897316923445e-001,4.65395788991138e-001
2.39883291901945e+005	-1.52993990059201e-001,5.05432724978365e-001	-1.10010530755059e-001,4.55981079249027e-001
2.45470891568499e+005	-1.46404591902201e-001,4.95967596028843e-001	-1.05319976101253e-001,4.46707571948963e-001
2.51188643150954e+005	-1.40060655385996e-001,4.86596850670273e-001	-1.00818745826080e-001,4.37576361498444e-001
2.57039578276882e+005	-1.33955073393252e-001,4.77324891443637e-001	-9.65000937758514e-002,4.28588286649267e-001
2.63026799189534e+005	-1.28080776323953e-001,4.68155726154167e-001	-9.23574384279156e-002,4.19743946261128e-001
2.69153480392687e+005	-1.22430748113892e-001,4.59092983912579e-001	-8.83843656788237e-002,4.11043714538003e-001
2.75422870333812e+005	-1.16998040723626e-001,4.50139931333766e-001	-8.45746308432483e-002,4.02487755719630e-001
2.81838293126440e+005	-1.11775787150558e-001,4.41299488813367e-001	-8.09221599318688e-002,3.94076038215594e-001
2.88403150312656e+005	-1.06757213068925e-001,4.32574246732742e-001	-7.74210502731315e-002,3.85808348174153e-001
2.95120922666633e+005	-1.01935647157295e-001,4.23966481583783e-001	-7.40655705404356e-002,3.77684302482101e-001
