Freq.	V(vout1)	V(vout2)
1.02329299228075e+001	-1.54403644709544e+000,3.82871166173919e-002	-1.99999993747480e+000,3.53624661116877e-004
1.04712854805090e+001	-1.54321613982734e+000,3.86115457735634e-002	-1.99999993452808e+000,3.61861637085403e-004
1.07151930523760e+001	-1.54238239857610e+000,3.89208071409961e-002	-1.99999993144248e+000,3.70290476833451e-004
1.09647819614318e+001	-1.54153579597009e+000,3.92142113090349e-002	-1.99999992821146e+000,3.78915649439828e-004
1.12201845430196e+001	-1.54067694993391e+000,3.94910928297457e-002	-1.99999992482817e+000,3.87741728081366e-004
1.14815362149688e+001	-1.53980652290978e+000,3.97508137628650e-002	-1.99999992128543e+000,3.96773392457659e-004
1.17489755493953e+001	-1.53892522000067e+000,3.99927671347600e-002	-1.99999991757573e+000,4.06015431272286e-004
1.20226443461741e+001	-1.53803378750009e+000,4.02163803495116e-002	-1.99999991369120e+000,4.15472744771819e-004
1.23026877081238e+001	-1.53713301058856e+000,4.04211184597702e-002	-1.99999990962359e+000,4.25150347343979e-004
1.25892541179416e+001	-1.53622371100108e+000,4.06064873026527e-002	-1.99999990536428e+000,4.35053370176309e-004
1.28824955169313e+001	-1.53530674434056e+000,4.07720364520481e-002	-1.99999990090423e+000,4.45187063976765e-004
1.31825673855640e+001	-1.53438299710906e+000,4.09173619582313e-002	-1.99999989623399e+000,4.55556801757688e-004
1.34896288259165e+001	-1.53345338331251e+000,4.10421088365363e-002	-1.99999989134365e+000,4.66168081684614e-004
1.38038426460288e+001	-1.53251884123154e+000,4.11459733059449e-002	-1.99999988622284e+000,4.77026529991445e-004
1.41253754462275e+001	-1.53158032955925e+000,4.12287047106162e-002	-1.99999988086069e+000,4.88137903963516e-004
1.44543977074592e+001	-1.53063882359574e+000,4.12901071353552e-002	-1.99999987524582e+000,4.99508094990147e-004
1.47910838816820e+001	-1.52969531121519e+000,4.13300406800683e-002	-1.99999986936634e+000,5.11143131688298e-004
1.51356124843620e+001	-1.52875078880758e+000,4.13484223869095e-002	-1.99999986320977e+000,5.23049183098978e-004
1.54881661891248e+001	-1.52780625701339e+000,4.13452267977655e-002	-1.99999985676304e+000,5.35232561958109e-004
1.58489319246111e+001	-1.52686271651719e+000,4.13204861471907e-002	-1.99999985001249e+000,5.47699728043570e-004
1.62181009735892e+001	-1.52592116381568e+000,4.12742901821621e-002	-1.99999984294380e+000,5.60457291600210e-004
1.65958690743755e+001	-1.52498258693610e+000,4.12067856079513e-002	-1.99999983554197e+000,5.73512016844627e-004
1.69824365246174e+001	-1.52404796154545e+000,4.11181751867745e-002	-1.99999982779130e+000,5.86870825551587e-004
1.73780082874937e+001	-1.52311824658666e+000,4.10087164547626e-002	-1.99999981967536e+000,6.00540800723982e-004
1.77827941003892e+001	-1.52219438076080e+000,4.08787201373789e-002	-1.99999981117692e+000,6.14529190348254e-004
1.81970085860998e+001	-1.52127727859207e+000,4.07285482161051e-002	-1.99999980227796e+000,6.28843411237309e-004
1.86208713666286e+001	-1.52036782712088e+000,4.05586117204706e-002	-1.99999979295961e+000,6.43491052962924e-004
1.90546071796324e+001	-1.51946688249592e+000,4.03693682320821e-002	-1.99999978320210e+000,6.58479881879761e-004
1.94984459975804e+001	-1.51857526709897e+000,4.01613191597922e-002	-1.99999977298473e+000,6.73817845243095e-004
1.99526231496887e+001	-1.51769376682179e+000,3.99350067952091e-002	-1.99999976228583e+000,6.89513075422461e-004
2.04173794466952e+001	-1.51682312862703e+000,3.96910111865826e-002	-1.99999975108271e+000,7.05573894213440e-004
2.08929613085403e+001	-1.51596405853341e+000,3.94299468694725e-002	-1.99999973935160e+000,7.22008817249873e-004
2.13796208950222e+001	-1.51511721958844e+000,3.91524594656945e-002	-1.99999972706762e+000,7.38826558518845e-004
2.18776162394954e+001	-1.51428323075327e+000,3.88592222290287e-002	-1.99999971420472e+000,7.56036034980830e-004
2.23872113856833e+001	-1.51346266532319e+000,3.85509325025395e-002	-1.99999970073560e+000,7.73646371297444e-004
2.29086765276776e+001	-1.51265605041831e+000,3.82283081949996e-002	-1.99999968663171e+000,7.91666904669314e-004
2.34422881531991e+001	-1.51186386635254e+000,3.78920842485513e-002	-1.99999967186312e+000,8.10107189786633e-004
2.39883291901948e+001	-1.51108654631471e+000,3.75430091484366e-002	-1.99999965639850e+000,8.28977003895012e-004
2.45470891568502e+001	-1.51032447653596e+000,3.71818415103865e-002	-1.99999964020507e+000,8.48286351979324e-004
2.51188643150957e+001	-1.50957799648098e+000,3.68093467488619e-002	-1.99999962324846e+000,8.68045472068292e-004
2.57039578276885e+001	-1.50884739958652e+000,3.64262938738456e-002	-1.99999960549271e+000,8.88264840662617e-004
2.63026799189537e+001	-1.50813293395550e+000,3.60334524088140e-002	-1.99999958690016e+000,9.08955178289536e-004
2.69153480392690e+001	-1.50743480347148e+000,3.56315894693940e-002	-1.99999956743136e+000,9.30127455186755e-004
2.75422870333815e+001	-1.50675316888972e+000,3.52214669974793e-002	-1.99999954704504e+000,9.51792897118755e-004
2.81838293126444e+001	-1.50608814935360e+000,3.48038391837165e-002	-1.99999952569793e+000,9.73962991328571e-004
2.88403150312659e+001	-1.50543982393645e+000,3.43794500698053e-002	-1.99999950334477e+000,9.96649492628191e-004
2.95120922666637e+001	-1.50480823328887e+000,3.39490313419696e-002	-1.99999947993814e+000,1.01986442963080e-003
3.01995172040200e+001	-1.50419338137603e+000,3.35133003196250e-002	-1.99999945542838e+000,1.04362011112816e-003
3.09029543251358e+001	-1.50359523744826e+000,3.30729581479749e-002	-1.99999942976352e+000,1.06792913261658e-003
3.16227766016837e+001	-1.50301373802902e+000,3.26286881854799e-002	-1.99999940288911e+000,1.09280438297477e-003
3.23593656929627e+001	-1.50244878864417e+000,3.21811545736383e-002	-1.99999937474815e+000,1.11825905129733e-003
3.31131121482590e+001	-1.50190026616759e+000,3.17310010219784e-002	-1.99999934528095e+000,1.14430663388732e-003
3.38844156139201e+001	-1.50136802070282e+000,3.12788497586298e-002	-1.99999931442500e+000,1.17096094141171e-003
3.46736850452530e+001	-1.50085187755298e+000,3.08253006636287e-002	-1.99999928211486e+000,1.19823610622348e-003
3.54813389233574e+001	-1.50035163941678e+000,3.03709305825930e-002	-1.99999924828199e+000,1.22614658985423e-003
3.63078054770100e+001	-1.49986708819373e+000,2.99162927883520e-002	-1.99999921285462e+000,1.25470719068128e-003
3.71535229097171e+001	-1.49939798706784e+000,2.94619166078713e-002	-1.99999917575762e+000,1.28393305177338e-003
3.80189396320559e+001	-1.49894408238588e+000,2.90083071860037e-002	-1.99999913691229e+000,1.31383966891907e-003
3.89045144994279e+001	-1.49850510546174e+000,2.85559453815076e-002	-1.99999909623624e+000,1.34444289884202e-003
3.98107170553495e+001	-1.49808077432510e+000,2.81052877858972e-002	-1.99999905364318e+000,1.37575896760776e-003
4.07380277804111e+001	-1.49767079554829e+000,2.76567668594900e-002	-1.99999900904278e+000,1.40780447922609e-003
4.16869383470333e+001	-1.49727486580380e+000,2.72107911619317e-002	-1.99999896234043e+000,1.44059642445388e-003
4.26579518801591e+001	-1.49689267343777e+000,2.67677456774736e-002	-1.99999891343707e+000,1.47415218980284e-003
4.36515832240164e+001	-1.49652389980918e+000,2.63279922164679e-002	-1.99999886222897e+000,1.50848956675711e-003
4.46683592150961e+001	-1.49616822093122e+000,2.58918699015629e-002	-1.99999880860750e+000,1.54362676120539e-003
4.57088189614873e+001	-1.49582530859532e+000,2.54596957016631e-002	-1.99999875245894e+000,1.57958240309285e-003
4.67735141287196e+001	-1.49549483154869e+000,2.50317650245321e-002	-1.99999869366418e+000,1.61637555629767e-003
4.78630092322636e+001	-1.49517645680435e+000,2.46083523616117e-002	-1.99999863209851e+000,1.65402572873767e-003
4.89778819368444e+001	-1.49486985055410e+000,2.41897119603131e-002	-1.99999856763134e+000,1.69255288271225e-003
5.01187233627270e+001	-1.49457467909134e+000,2.37760785298128e-002	-1.99999850012594e+000,1.73197744548507e-003
5.12861383991362e+001	-1.49429060995764e+000,2.33676679795580e-002	-1.99999842943911e+000,1.77232032011329e-003
5.24807460249770e+001	-1.49401731239418e+000,2.29646781564919e-002	-1.99999835542091e+000,1.81360289652885e-003
5.37031796370250e+001	-1.49375445837823e+000,2.25672896138882e-002	-1.99999827791436e+000,1.85584706287783e-003
5.49540873857622e+001	-1.49350172310143e+000,2.21756663723700e-002	-1.99999819675503e+000,1.89907521712381e-003
5.62341325190346e+001	-1.49325878566801e+000,2.17899566913659e-002	-1.99999811177080e+000,1.94331027892139e-003
5.75439937337154e+001	-1.49302532962152e+000,2.14102938352627e-002	-1.99999802278138e+000,1.98857570176624e-003
5.88843655355586e+001	-1.49280104337307e+000,2.10367968327615e-002	-1.99999792959804e+000,2.03489548542789e-003
6.02559586074355e+001	-1.49258562061920e+000,2.06695712286577e-002	-1.99999783202311e+000,2.08229418867214e-003
6.16595001861479e+001	-1.49237876075800e+000,2.03087098249138e-002	-1.99999772984962e+000,2.13079694227954e-003
6.30957344480190e+001	-1.49218016916367e+000,1.99542934050880e-002	-1.99999762286085e+000,2.18042946236704e-003
6.45654229034652e+001	-1.49198955744811e+000,1.96063914433531e-002	-1.99999751082988e+000,2.23121806401976e-003
6.60693448007593e+001	-1.49180664361564e+000,1.92650627937648e-002	-1.99999739351906e+000,2.28318967524005e-003
6.76082975391978e+001	-1.49163115244265e+000,1.89303563666223e-002	-1.99999727067956e+000,2.33637185122135e-003
6.91830970918933e+001	-1.49146281537969e+000,1.86023117730543e-002	-1.99999714205084e+000,2.39079278895429e-003
7.07945784384134e+001	-1.49130137076410e+000,1.82809599568150e-002	-1.99999700736004e+000,2.44648134217278e-003
7.24435960074986e+001	-1.49114656400749e+000,1.79663238034383e-002	-1.99999686632149e+000,2.50346703664805e-003
7.41310241300914e+001	-1.49099814737813e+000,1.76584187182014e-002	-1.99999671863601e+000,2.56178008583865e-003
7.58577575029180e+001	-1.49085588024086e+000,1.73572531921230e-002	-1.99999656399036e+000,2.62145140690470e-003
7.76247116628688e+001	-1.49071952894358e+000,1.70628293373154e-002	-1.99999640205650e+000,2.68251263709491e-003
7.94328234724277e+001	-1.49058886688255e+000,1.67751434037006e-002	-1.99999623249097e+000,2.74499615051498e-003
8.12830516164095e+001	-1.49046367438978e+000,1.64941862693433e-002	-1.99999605493409e+000,2.80893507528626e-003
8.31763771102667e+001	-1.49034373864532e+000,1.62199439090195e-002	-1.99999586900925e+000,2.87436331110371e-003
8.51138038202372e+001	-1.49022885365464e+000,1.59523978422968e-002	-1.99999567432207e+000,2.94131554720251e-003
8.70963589956076e+001	-1.49011882016486e+000,1.56915255586731e-002	-1.99999547045961e+000,3.00982728074267e-003
8.91250938133741e+001	-1.49001344547046e+000,1.54373009193517e-002	-1.99999525698946e+000,3.07993483562155e-003
9.12010839355905e+001	-1.48991254345003e+000,1.51896945432280e-002	-1.99999503345881e+000,3.15167538172401e-003
9.33254300796986e+001	-1.48981593427928e+000,1.49486741664363e-002	-1.99999479939354e+000,3.22508695462055e-003
9.54992586021431e+001	-1.48972344444409e+000,1.47142049884000e-002	-1.99999455429718e+000,3.30020847572364e-003
9.77237220955805e+001	-1.48963490655130e+000,1.44862499952798e-002	-1.99999429764985e+000,3.37707977291305e-003
9.99999999999995e+001	-1.48955015907721e+000,1.42647702644647e-002	-1.99999402890716e+000,3.45574160164099e-003
1.02329299228075e+002	-1.48946904639505e+000,1.40497252567482e-002	-1.99999374749911e+000,3.53623566652814e-003
1.04712854805089e+002	-1.48939141860436e+000,1.38410730881491e-002	-1.99999345282878e+000,3.61860464346206e-003
1.07151930523760e+002	-1.48931713123624e+000,1.36387707839098e-002	-1.99999314427117e+000,3.70289220220957e-003
1.09647819614318e+002	-1.48924604528179e+000,1.34427745228042e-002	-1.99999282117178e+000,3.78914302955501e-003
1.12201845430196e+002	-1.48917802686157e+000,1.32530398608522e-002	-1.99999248284530e+000,3.87740285297662e-003
1.14815362149688e+002	-1.48911294727687e+000,1.30695219476333e-002	-1.99999212857411e+000,3.96771846487343e-003
1.17489755493952e+002	-1.48905068261882e+000,1.28921757221531e-002	-1.99999175760677e+000,4.06013774735557e-003
1.20226443461741e+002	-1.48899111386805e+000,1.27209561041987e-002	-1.99999136915642e+000,4.15470969761082e-003
1.23026877081237e+002	-1.48893412653031e+000,1.25558181666938e-002	-1.99999096239913e+000,4.25148445386100e-003
1.25892541179416e+002	-1.48887961053688e+000,1.23967173007991e-002	-1.99999053647214e+000,4.35051332192162e-003
1.28824955169313e+002	-1.48882746028536e+000,1.22436093728217e-002	-1.99999009047202e+000,4.45184880237899e-003
1.31825673855640e+002	-1.48877757417960e+000,1.20964508634589e-002	-1.99998962345278e+000,4.55554461839887e-003
1.34896288259165e+002	-1.48872985478761e+000,1.19551990070387e-002	-1.99998913442383e+000,4.66165574418137e-003
1.38038426460288e+002	-1.48868420838725e+000,1.18198119127734e-002	-1.99998862234792e+000,4.77023843407707e-003
1.41253754462275e+002	-1.48864054515111e+000,1.16902486871886e-002	-1.99998808613889e+000,4.88135025237955e-003
1.44543977074592e+002	-1.48859877883396e+000,1.15664695417114e-002	-1.99998752465941e+000,4.99505010381008e-003
1.47910838816820e+002	-1.48855882660749e+000,1.14484358946662e-002	-1.99998693671856e+000,5.11139826471038e-003
1.51356124843620e+002	-1.48852060906585e+000,1.13361104695684e-002	-1.99998632106929e+000,5.23045641495978e-003
1.54881661891247e+002	-1.48848404994203e+000,1.12294573824600e-002	-1.99998567640576e+000,5.35228767063358e-003
1.58489319246110e+002	-1.48844907615350e+000,1.11284422280982e-002	-1.99998500136063e+000,5.47695661741969e-003
1.62181009735892e+002	-1.48841561752670e+000,1.10330321563860e-002	-1.99998429450208e+000,5.60452934481099e-003
1.65958690743755e+002	-1.48838360677112e+000,1.09431959468548e-002	-1.99998355433085e+000,5.73507348109129e-003
1.69824365246173e+002	-1.48835297946932e+000,1.08589040787255e-002	-1.99998277927702e+000,5.86865822913329e-003
