Freq.	V(vout1)	V(vout2)
4.46683592150962e+000	-1.81885261083337e+000,5.08609223366793e-003	-1.99999998808607e+000,1.54362767154328e-004
4.57088189614874e+000	-1.81885114920450e+000,5.20455336564112e-003	-1.99999998752458e+000,1.57958337853744e-004
4.67735141287197e+000	-1.81884961873464e+000,5.32577315590050e-003	-1.99999998693663e+000,1.61637660150535e-004
4.78630092322637e+000	-1.81884801610581e+000,5.44981581450967e-003	-1.99999998632098e+000,1.65402684869785e-004
4.89778819368445e+000	-1.81884633796560e+000,5.57674704451003e-003	-1.99999998567630e+000,1.69255408277115e-004
5.01187233627271e+000	-1.81884458074403e+000,5.70663407543076e-003	-1.99999998500125e+000,1.73197873137131e-004
5.12861383991364e+000	-1.81884274071849e+000,5.83954569901592e-003	-1.99999998429438e+000,1.77232169796517e-004
5.24807460249771e+000	-1.81884081400368e+000,5.97555230533272e-003	-1.99999998355420e+000,1.81360437292369e-004
5.37031796370252e+000	-1.81883879646519e+000,6.11472591919386e-003	-1.99999998277913e+000,1.85584864486334e-004
5.49540873857623e+000	-1.81883668384933e+000,6.25714023882192e-003	-1.99999998196753e+000,1.89907691225175e-004
5.62341325190348e+000	-1.81883447171895e+000,6.40287067415015e-003	-1.99999998111769e+000,1.94331209528363e-004
5.75439937337156e+000	-1.81883215529107e+000,6.55199438525429e-003	-1.99999998022779e+000,1.98857764803335e-004
5.88843655355588e+000	-1.81882972975268e+000,6.70459032501590e-003	-1.99999997929596e+000,2.03489757089058e-004
6.02559586074356e+000	-1.81882718989331e+000,6.86073927792862e-003	-1.99999997832021e+000,2.08229642328556e-004
6.16595001861481e+000	-1.81882453035367e+000,7.02052390418260e-003	-1.99999997729847e+000,2.13079933671083e-004
6.30957344480192e+000	-1.81882174551216e+000,7.18402878214708e-003	-1.99999997622858e+000,2.18043202804626e-004
6.45654229034654e+000	-1.81881882941345e+000,7.35134045205387e-003	-1.99999997510827e+000,2.23122081319442e-004
6.60693448007594e+000	-1.81881577595096e+000,7.52254746269118e-003	-1.99999997393516e+000,2.28319262103360e-004
6.76082975391980e+000	-1.81881257855348e+000,7.69774041518197e-003	-1.99999997270676e+000,2.33637500769581e-004
6.91830970918935e+000	-1.81880923054584e+000,7.87701201323147e-003	-1.99999997142047e+000,2.39079617117738e-004
7.07945784384136e+000	-1.81880572474710e+000,8.06045710818981e-003	-1.99999997007356e+000,2.44648496628987e-004
7.24435960074988e+000	-1.81880205371786e+000,8.24817275055527e-003	-1.99999996866317e+000,2.50347091995921e-004
7.41310241300916e+000	-1.81879820981500e+000,8.44025824113058e-003	-1.99999996718631e+000,2.56178424688121e-004
7.58577575029182e+000	-1.81879418470850e+000,8.63681517835128e-003	-1.99999996563985e+000,2.62145586554179e-004
7.76247116628690e+000	-1.81878996998206e+000,8.83794751657545e-003	-1.99999996402050e+000,2.68251741461023e-004
7.94328234724279e+000	-1.81878555663362e+000,9.04376161552998e-003	-1.99999996232484e+000,2.74500126971444e-004
8.12830516164097e+000	-1.81878093542349e+000,9.25436629884781e-003	-1.99999996054926e+000,2.80894056060681e-004
8.31763771102669e+000	-1.81877609639085e+000,9.46987290575909e-003	-1.99999995869001e+000,2.87436918873003e-004
8.51138038202374e+000	-1.81877102939313e+000,9.69039535414388e-003	-1.99999995674313e+000,2.94132184519196e-004
8.70963589956078e+000	-1.81876572367065e+000,9.91605019515718e-003	-1.99999995470449e+000,3.00983402915925e-004
8.91250938133743e+000	-1.81876016798312e+000,1.01469566748354e-002	-1.99999995256978e+000,3.07994206667941e-004
9.12010839355907e+000	-1.81875435052365e+000,1.03832367947504e-002	-1.99999995033447e+000,3.15168312994124e-004
9.33254300796988e+000	-1.81874825895689e+000,1.06250153753415e-002	-1.99999994799380e+000,3.22509525698391e-004
9.54992586021433e+000	-1.81874188042730e+000,1.08724201203393e-002	-1.99999994554283e+000,3.30021737186516e-004
9.77237220955808e+000	-1.81873520145635e+000,1.11255816813141e-002	-1.99999994297634e+000,3.37708930529919e-004
9.99999999999997e+000	-1.81872820774537e+000,1.13846337223332e-002	-1.99999994028890e+000,3.45575181577538e-004
1.02329299228075e+001	-1.81872088456580e+000,1.16497129931991e-002	-1.99999993747480e+000,3.53624661116877e-004
1.04712854805090e+001	-1.81871321640534e+000,1.19209593952401e-002	-1.99999993452808e+000,3.61861637085404e-004
1.07151930523760e+001	-1.81870518701515e+000,1.21985160533346e-002	-1.99999993144248e+000,3.70290476833451e-004
1.09647819614318e+001	-1.81869677938067e+000,1.24825293885591e-002	-1.99999992821146e+000,3.78915649439828e-004
1.12201845430196e+001	-1.81868797568236e+000,1.27731491922221e-002	-1.99999992482817e+000,3.87741728081366e-004
1.14815362149688e+001	-1.81867875725977e+000,1.30705287015233e-002	-1.99999992128543e+000,3.96773392457659e-004
1.17489755493953e+001	-1.81866910465657e+000,1.33748246779449e-002	-1.99999991757573e+000,4.06015431272285e-004
1.20226443461741e+001	-1.81865899738546e+000,1.36861974832716e-002	-1.99999991369120e+000,4.15472744771818e-004
1.23026877081238e+001	-1.81864841401935e+000,1.40048111618064e-002	-1.99999990962359e+000,4.25150347343979e-004
1.25892541179416e+001	-1.81863733208349e+000,1.43308335214138e-002	-1.99999990536428e+000,4.35053370176309e-004
1.28824955169313e+001	-1.81862572831549e+000,1.46644362219469e-002	-1.99999990090423e+000,4.45187063976765e-004
1.31825673855640e+001	-1.81861357797898e+000,1.50057948506475e-002	-1.99999989623399e+000,4.55556801757688e-004
1.34896288259165e+001	-1.81860085538355e+000,1.53550890179371e-002	-1.99999989134365e+000,4.66168081684614e-004
1.38038426460288e+001	-1.81858753364248e+000,1.57125024432400e-002	-1.99999988622284e+000,4.77026529991445e-004
1.41253754462275e+001	-1.81857358452464e+000,1.60782230437641e-002	-1.99999988086069e+000,4.88137903963516e-004
1.44543977074592e+001	-1.81855897851267e+000,1.64524430285321e-002	-1.99999987524582e+000,4.99508094990147e-004
1.47910838816820e+001	-1.81854368467216e+000,1.68353589910215e-002	-1.99999986936634e+000,5.11143131688298e-004
1.51356124843620e+001	-1.81852767067958e+000,1.72271720064042e-002	-1.99999986320977e+000,5.23049183098978e-004
1.54881661891248e+001	-1.81851090263571e+000,1.76280877267288e-002	-1.99999985676304e+000,5.35232561958109e-004
